rel10, 0.54
rel50, 0.41
rel100, 0.51
rel250, 0.46
rel500, 1
rel1000, 1
rel2000, 1
ind10, 0.62
ind50, 0.54
ind100, 0.46
ind250, 0.52
ind500, 0.87
ind1000, 1
ind2000, 1
